no,raw,smooth
264,-222.5,-69.3767
265,-210.0,-52.363003
266,-197.5,-34.847782
267,-180.0,-16.775312
268,-162.5,1.3607635
269,-142.5,19.567516
270,-120.0,37.57502
271,-97.5,55.08336
272,-75.0,72.03706
273,-50.0,88.37452
274,-25.0,103.749466
275,-0.0,118.05496
276,25.0,131.17218
277,50.0,142.96909
278,72.5,153.299
279,97.5,162.27667
280,120.0,169.47409
281,140.0,174.97122
282,160.0,178.85692
283,180.0,180.95213
284,195.0,181.05794
285,210.0,179.50882
286,222.5,176.12091
287,232.5,170.96768
288,240.0,164.13077
289,245.0,155.70085
290,250.0,145.77873
291,250.0,134.1986
292,247.5,121.33177
293,242.5,107.31308
294,237.5,92.29231
295,227.5,76.15813
296,215.0,59.34236
297,202.5,42.04707
298,187.5,24.218967
299,170.0,6.0766306
300,150.0,-12.137077
301,130.0,-30.15231
302,107.5,-47.94701
303,85.0,-65.2189
304,60.0,-81.9099
305,35.0,-97.677666
306,10.0,-112.41963
307,-15.0,-126.02181
308,-40.0,-138.35757
309,-62.5,-149.2862
310,-87.5,-158.92911
311,-110.0,-166.86568
312,-132.5,-173.1841
313,-152.5,-177.70456
314,-172.5,-180.50507
315,-187.5,-181.39452
316,-205.0,-180.71613
317,-217.5,-178.01793
318,-230.0,-173.63104
319,-237.5,-167.36783
320,-245.0,-159.57536
321,-247.5,-150.08374
322,-250.0,-139.2597
323,-250.0,-126.95524
324,-245.0,-113.2836
325,-240.0,-98.648445
326,-232.5,-82.94272
327,-220.0,-66.32524
328,-207.5,-49.25027
329,-192.5,-31.66697
330,-177.5,-13.796632
331,-157.5,4.3926315
332,-137.5,22.380703
333,-117.5,40.145226
334,-95.0,57.66136
335,-70.0,74.62374
336,-45.0,90.69305
337,-22.5,105.77006
338,2.5,120.022285
339,27.5,133.08032
340,52.5,144.81148
341,77.5,155.06831
342,100.0,163.68701
343,122.5,170.76335
344,145.0,176.12595
345,162.5,179.5844
346,182.5,181.48267
347,197.5,181.36963
348,212.5,179.57736
349,225.0,175.9193
350,235.0,170.4659
351,242.5,163.29544
352,247.5,154.49493
353,250.0,144.16104
354,250.0,132.40115
355,247.5,119.33461
356,242.5,105.09402
357,235.0,89.82669
358,225.0,73.69633
359,215.0,56.884808
360,200.0,39.316452
361,185.0,21.462727
362,167.5,3.2919197
363,147.5,-14.953423
364,125.0,-33.003803
365,102.5,-50.559784
366,80.0,-67.56643
367,57.5,-83.9627
368,32.5,-99.68078
369,7.5,-114.36754
370,-17.5,-127.90838
371,-42.5,-140.17598
372,-67.5,-151.02887
373,-90.0,-160.30986
374,-115.0,-168.12207
375,-135.0,-174.02452
376,-155.0,-178.36058
377,-175.0,-180.9562
378,-192.5,-181.61801
379,-207.5,-180.4089
380,-220.0,-177.39879
381,-230.0,-172.66533
382,-240.0,-166.29482
383,-245.0,-158.10536
384,-250.0,-148.45041
385,-250.0,-137.16713
386,-247.5,-124.63015
387,-245.0,-110.97794
388,-237.5,-96.08661
389,-230.0,-80.37401
390,-220.0,-63.7489
391,-205.0,-46.38767
392,-190.0,-28.764076
393,-175.0,-10.848975
394,-155.0,7.390028
395,-135.0,25.433365
396,-112.5,43.259296
397,-90.0,60.565887
398,-67.5,77.29543
399,-42.5,93.38382
400,-17.5,108.482025
401,7.5,122.480034
402,32.5,135.2556
403,57.5,146.6729
404,80.0,156.581
405,105.0,165.09
406,127.5,171.76666
407,147.5,176.68518
408,167.5,179.92798
409,185.0,181.30887
410,200.0,180.89874
411,215.0,178.77638
412,225.0,174.75154
413,235.0,169.16838
414,242.5,161.85376
415,247.5,152.89307
416,250.0,142.3812
417,250.0,130.42355
418,247.5,117.137276
419,242.5,102.652534
420,235.0,87.11393
421,225.0,70.682144
422,212.5,53.53572
423,197.5,35.873024
424,180.0,17.91447
425,162.5,-0.095033646
426,142.5,-18.161148
427,122.5,-36.012386
428,100.0,-53.624874
429,77.5,-70.694305
430,52.5,-87.16034
431,27.5,-102.67816
432,2.5,-117.1424
433,-22.5,-130.436
434,-47.5,-142.4289
435,-72.5,-152.97655
436,-95.0,-161.9184
437,-117.5,-169.35378
438,-140.0,-175.11531
439,-160.0,-179.01701
440,-177.5,-181.13002
441,-195.0,-181.53336
442,-210.0,-180.03706
443,-222.5,-176.70786
444,-232.5,-171.61984
445,-240.0,-164.85538
446,-245.0,-156.50598
447,-250.0,-146.67331
448,-250.0,-135.19258
449,-247.5,-122.4362
450,-245.0,-108.54023
451,-237.5,-93.37804
452,-227.5,-77.36449
453,-217.5,-60.682766
454,-202.5,-43.25863
455,-187.5,-25.565145
456,-170.0,-7.572385
457,-152.5,10.475128
458,-130.0,28.583477
459,-110.0,46.203865
460,-87.5,63.559853
461,-62.5,80.344284
462,-37.5,96.21587
463,-12.5,111.0732
464,12.5,124.80355
465,37.5,137.28172
466,62.5,148.36859
467,85.0,157.90955
468,107.5,166.0106
469,130.0,172.5118
470,150.0,177.23534
471,170.0,180.26149
472,187.5,181.40166
473,202.5,180.72406
474,217.5,178.30452
475,227.5,173.94946
476,237.5,167.9994
477,245.0,160.27711
478,247.5,150.86346
479,250.0,140.12607
480,250.0,127.91785
481,245.0,114.353165
482,240.0,99.83685
483,232.5,84.263176
484,222.5,67.79242
485,210.0,50.602684
486,195.0,32.891872
487,177.5,14.879858
488,160.0,-3.1890469
489,140.0,-21.321163
490,117.5,-39.24574
491,95.0,-56.661934
492,72.5,-73.51326
493,47.5,-89.73696
494,22.5,-104.98551
495,-2.5,-119.15057
496,-27.5,-132.11176
497,-50.0,-143.73529
498,-75.0,-154.15033
499,-100.0,-162.94481
500,-120.0,-169.93867
501,-142.5,-175.48743
502,-162.5,-179.1527
503,-180.0,-181.00299
504,-197.5,-181.11444
505,-210.0,-179.29382
506,-222.5,-175.88203
507,-232.5,-170.70227
508,-242.5,-163.83586
509,-247.5,-155.0954
510,-250.0,-144.82822
511,-250.0,-133.14246
512,-247.5,-120.158295
513,-242.5,-106.00922
514,-235.0,-90.843575
515,-227.5,-74.826195
516,-215.0,-57.862442
517,-200.0,-40.402714
518,-185.0,-22.669682
519,-167.5,-4.6329803
520,-147.5,13.463356
521,-127.5,31.348175
522,-105.0,48.997974
523,-82.5,66.108864
524,-57.5,82.620964
525,-35.0,98.189964
526,-10.0,112.98885
527,15.0,126.65428
528,40.0,139.06032
529,65.0,150.06703
530,90.0,159.51894
531,112.5,167.24327
532,132.5,173.32587
533,155.0,177.86208
534,172.5,180.40231
535,190.0,181.28035
536,205.0,180.31151
537,217.5,177.56834
538,230.0,173.1315
539,237.5,166.81279
540,245.0,158.95866
541,247.5,149.39851
542,250.0,138.49835
543,250.0,126.10928
544,245.0,112.34365
545,240.0,97.60406
546,230.0,81.78229
547,220.0,65.31365
548,207.5,48.12628
549,192.5,30.418095
550,175.0,12.408996
551,157.5,-5.6566715
552,137.5,-23.78519
553,115.0,-41.70577
554,92.5,-59.117523
555,67.5,-75.96391
556,45.0,-91.90435
557,20.0,-107.11595
558,-5.0,-121.23995
559,-30.0,-134.1555
560,-55.0,-145.72833
561,-80.0,-155.80927
562,-102.5,-164.23253
563,-125.0,-171.0917
564,-145.0,-176.21301
565,-165.0,-179.68114
566,-182.5,-181.31238
567,-200.0,-181.18042
568,-212.5,-179.08936
569,-225.0,-175.37706
570,-235.0,-169.8634
571,-242.5,-162.626
572,-247.5,-153.75113
573,-250.0,-143.3346
574,-250.0,-131.48288
575,-247.5,-118.314316
576,-242.5,-103.96036
577,-235.0,-88.56706
578,-225.0,-72.29674
579,-212.5,-55.329704
580,-197.5,-37.86634
581,-182.5,-20.129269
582,-165.0,-2.0880766
583,-145.0,16.013248
584,-125.0,33.90361
585,-102.5,51.559566
586,-77.5,68.6773
587,-55.0,84.91923
588,-30.0,100.46581
589,-5.0,114.96202
590,20.0,128.29114
591,45.0,140.32349
592,70.0,150.915
593,92.5,159.90555
594,115.0,167.39505
595,137.5,173.21672
596,157.5,177.18524
597,175.0,179.3725
598,192.5,179.85834
599,207.5,178.4537
600,220.0,175.22635
601,232.5,170.2515
602,240.0,163.33499
603,245.0,154.81667
604,250.0,144.7963
605,250.0,133.10701
606,247.5,120.118904
607,245.0,105.965454
608,237.5,90.51717
609,230.0,74.18575
610,217.5,56.87306
611,205.0,39.025623
612,190.0,20.584026
613,172.5,1.7600298
614,152.5,-17.211079
